% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.648614037e+06 +2.648614037e+06 +2.648690307e+06 +2.648690307e+06 -2.6036e+00 -2.2267e+00 -3.1793e+00 -5.1889e-01 -3.7865e+00 -3.8395e+00 -3.6093e+00 -1.2150e-01 +1.1236e+00 +3.1530e+00 -2.6770e+00 -3.9293e+00 +3.0639e+00 -8.8016e-03 +2.7237e+00 -8.8621e-01 +1.0570e+00 +4.4490e-01 -3.2971e+00 -2.9622e+00
2 +1.718322846e+06 +1.718322846e+06 +1.718399116e+06 +1.718399116e+06 -1.6588e+00 -2.2160e+00 -8.2299e-01 -1.3327e+00 -3.1994e+00 +1.1712e+00 -1.8027e+00 +9.5475e-01 +2.6081e+00 +5.6780e+00 -2.2307e+00 -2.1099e+00 +8.1892e-01 -2.7859e-01 +1.5813e+00 -8.0430e-01 +4.2261e-01 +4.7967e-01 -1.2914e+00 -3.1410e+00
3 +6.674681646e+05 +6.674681646e+05 +6.675444346e+05 +6.675444346e+05 -6.3049e+00 -4.3605e+00 -4.8594e+00 -2.3302e+00 -7.4466e+00 -5.0756e+00 -1.0279e+00 +2.3501e+00 +5.7741e+00 +1.1872e+00 -3.9834e+00 -3.8959e+00 +3.4275e+00 +1.0237e+00 +1.4512e+00 -1.4592e+00 +5.9228e-01 +9.1859e-01 -4.9356e+00 -2.5297e+00
4 +3.359239412e+05 +3.359239412e+05 +3.360002112e+05 +3.360002112e+05 -6.8475e-01 -2.5251e+00 -5.1765e+00 +1.6998e-01 -4.6098e+00 -6.3136e+00 -1.8613e+00 +1.4147e+00 -2.3233e+00 +2.6402e+00 -1.9730e+00 -2.9991e+00 +1.4244e+00 +1.7963e+00 +2.8648e+00 +6.3728e-01 -1.1868e-01 -1.0155e+00 -2.3123e+00 -3.8313e+00
7 +2.099812156e+05 +2.099812156e+05 +2.100574856e+05 +2.100574856e+05 -3.4561e+00 -6.4620e-01 -5.4262e+00 +9.9566e-01 -6.4069e+00 -3.9479e+00 -5.2575e+00 -1.4191e+00 +4.1739e+00 +4.5080e+00 +9.0558e-02 -2.0267e+00 +9.1278e-01 -6.7397e-01 +2.1854e+00 -1.4876e+00 -4.3025e-01 +3.3296e+00 -3.6867e+00 -4.3719e+00
23 +3.577181072e+04 +3.577181072e+04 +3.584808072e+04 +3.584808072e+04 -6.3086e+00 -5.1827e+00 -1.4832e+00 -4.1532e-02 -2.8080e+00 -7.1984e-01 -3.8856e+00 +2.5279e+00 +5.0067e+00 +1.5777e+00 +2.1371e+00 -7.2853e-01 +2.2599e+00 -1.5384e+00 +4.5265e+00 +1.7608e+00 -1.4552e+00 +1.3705e-01 -7.4524e-01 -5.0576e+00
32 +1.494301429e+04 +1.494301429e+04 +1.501928429e+04 +1.501928429e+04 -6.1210e+00 -4.8470e+00 -5.5499e+00 -1.1910e-01 -2.1545e+00 -4.0925e+00 -4.8955e+00 -2.9542e-02 +3.3649e+00 +4.0208e+00 +1.6926e+00 -7.1191e+00 +4.1428e+00 +1.0599e+00 +4.7621e+00 +1.3032e+00 -1.3339e+00 +3.1844e+00 -2.7562e+00 -1.8434e+00
43 +4.221944124e+03 +4.221944124e+03 +4.298214124e+03 +4.298214124e+03 -6.1978e+00 -1.1215e+00 -7.4870e+00 +5.0731e+00 -1.7318e+00 -6.4614e+00 -3.4524e+00 +3.5189e-01 +4.9361e+00 +2.8423e+00 +2.1384e+00 -9.2550e+00 +4.1074e+00 +3.4519e+00 +3.9217e+00 +1.5882e+00 -1.4963e+00 +3.4053e+00 +4.6731e-01 +1.0738e+00
74 +3.767797305e+03 +3.767797305e+03 +3.844067305e+03 +3.844067305e+03 -5.3399e+00 -8.2047e-01 -5.8585e+00 +1.7767e-02 -4.0154e+00 -4.8602e+00 -3.0079e+00 +6.9173e-01 +5.3641e+00 +2.3761e+00 +1.9693e+00 -8.3796e+00 +5.5045e+00 +2.7159e+00 +4.6537e+00 +5.2916e+00 -3.9798e+00 +2.6442e+00 -9.0924e-01 +2.1816e-01
163 +5.497851645e+02 +5.497851645e+02 +6.260551645e+02 +6.260551645e+02 -3.3701e+00 +1.4218e+00 -4.8142e+00 -2.3166e+00 -7.3443e+00 -3.0776e+00 +7.7187e-01 +2.2757e+00 +4.8722e+00 +1.5326e+00 +1.5397e+00 -1.3170e+01 +7.5314e+00 +9.1864e+00 +9.7431e-01 +9.1830e+00 -1.7837e+00 +1.4290e+00 -1.2867e+00 -8.5539e-01
7745 +3.897020730e+02 +3.897020730e+02 +4.659720730e+02 +4.659720730e+02 +2.2968e+00 -1.9933e+00 -3.2684e-02 -7.0404e+00 -2.1258e-02 +5.8113e+00 -6.2694e+00 +6.1790e+00 -2.3876e+00 +1.3956e-01 +5.4438e+00 -9.6527e+00 +3.2445e+00 +2.4387e+00 -5.5462e+00 +2.9137e+00 +4.4639e+00 +2.9679e+00 -1.2305e+00 +1.5833e+00
8349 +2.510195716e+02 +2.510195716e+02 +3.272895716e+02 +3.272895716e+02 +2.0018e+00 +1.1536e+00 -1.2655e+00 -6.2990e+00 -4.2990e-01 +4.5394e+00 -6.7624e+00 +6.7065e+00 -1.9780e-02 +3.3933e+00 +3.8814e+00 -5.6620e+00 -6.3317e-01 +1.7868e+00 -5.4431e+00 +1.9076e+00 +1.5740e+00 +2.2772e+00 -6.7346e-03 -8.6535e-01
8752 +1.581870503e+02 +1.581870503e+02 +2.344570503e+02 +2.344570503e+02 +1.6309e+00 -2.7899e-01 -2.1318e+00 -4.6173e+00 -2.7113e+00 +6.8790e-01 -7.2325e+00 +2.8852e+00 +7.3847e-01 +4.1270e+00 +5.9239e+00 -3.2956e+00 -3.9782e+00 +6.1124e-01 -3.6859e+00 +1.1253e+00 +2.2326e+00 +8.6621e-01 -5.7515e-01 -2.2375e+00
8894 +9.908076341e+01 +9.908076341e+01 +1.753507634e+02 +1.753507634e+02 +2.2042e+00 -2.0843e+00 -1.2101e+00 -2.1964e+00 -2.4438e+00 -1.0406e+00 -4.5541e+00 +3.2100e+00 -3.8004e-01 +3.5262e+00 +6.0020e+00 -6.3793e-01 -3.7150e+00 -6.3856e-01 -3.5423e+00 +1.7996e+00 +3.0953e+00 -3.1586e+00 -1.4948e+00 -3.8719e+00
9128 +6.020946257e+01 +6.020946257e+01 +1.364794626e+02 +1.364794626e+02 +1.3546e+00 -2.1884e+00 -1.7365e+00 -1.4816e+00 -1.0748e+00 -8.7543e-01 -3.1743e+00 +3.9393e+00 -7.4561e-01 +6.3691e-01 +2.8757e+00 -1.7222e+00 -3.8767e+00 +3.4301e+00 -2.0910e+00 +9.1207e-01 -1.7036e+00 -4.2868e+00 -2.5628e+00 -2.5027e+00
9568 +3.890170478e+01 +3.890170478e+01 +1.151717048e+02 +1.151717048e+02 +1.1328e+00 -2.6581e+00 -6.3493e-01 -1.3034e+00 -1.5631e+00 -1.8232e+00 -2.4343e+00 +3.3709e+00 +8.9452e-01 +3.6187e-01 +3.5143e+00 -2.0433e+00 -4.2117e+00 +2.9978e+00 -1.4057e+00 +4.5843e-01 +2.2215e+00 -3.8698e+00 -1.1851e+00 -1.0963e+00
10030 +2.389987102e+01 +2.389987102e+01 +1.001698710e+02 +1.001698710e+02 +1.5535e+00 -2.3352e+00 -8.2745e-01 -2.8049e-01 -1.5348e+00 -1.7989e+00 -1.2902e+00 +2.6776e+00 -5.6329e-01 +9.0513e-01 +2.6517e+00 -7.7576e-01 -4.7542e+00 +3.1026e+00 -1.8367e+00 -1.7874e-01 +1.6678e+00 -3.8635e+00 -8.3727e-01 -1.4734e+00
10353 +1.535717229e+01 +1.535717229e+01 +9.162717229e+01 +9.162717229e+01 +8.2546e-01 -2.8443e+00 -1.5188e+00 -2.4803e-01 -1.6071e+00 -2.9864e+00 -1.4672e+00 +2.1934e+00 -6.5359e-01 +1.5129e+00 +2.1768e+00 -1.3643e+00 -4.0416e+00 +3.3281e+00 -1.1550e+00 -3.2995e-01 +1.8597e+00 -3.1068e+00 -9.8026e-01 -2.0347e+00
10590 +9.490738149e+00 +9.490738149e+00 +8.576073815e+01 +8.576073815e+01 +5.4210e-01 -3.0942e+00 -1.1366e+00 -4.2408e-01 -1.5554e+00 -2.5386e+00 -1.1957e+00 +1.8676e+00 -1.4623e+00 +1.3229e+00 +2.6226e+00 -1.8141e+00 -3.4033e+00 +3.2646e+00 -1.5725e+00 -1.0438e+00 +1.5848e+00 -2.8696e+00 -5.3262e-01 -1.4816e+00
10774 +5.434541660e+00 +5.434541660e+00 +8.170454166e+01 +8.170454166e+01 +1.4666e-01 -3.1182e+00 -1.3209e+00 -1.7461e-01 -1.4099e+00 -2.6078e+00 -6.8425e-01 +1.7586e+00 -1.6064e+00 +1.4969e+00 +2.1970e+00 -2.0005e+00 -3.2234e+00 +3.3702e+00 -1.5662e+00 -1.4810e+00 +1.7012e+00 -2.4850e+00 +2.9974e-02 -1.6981e+00
10872 +3.919524190e+00 +3.919524190e+00 +8.018952419e+01 +8.018952419e+01 -1.1641e-01 -3.4355e+00 -1.4048e+00 -2.7070e-01 -1.5537e+00 -3.0025e+00 -4.5880e-01 +1.6656e+00 -1.2272e+00 +1.9633e+00 +2.1359e+00 -2.2437e+00 -3.1500e+00 +3.2493e+00 -1.8574e+00 -1.6888e+00 +1.7292e+00 -2.6765e+00 +6.3848e-02 -2.1320e+00
