% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.540580802e+01 +3.540580802e+01 -6.714419198e+01 -6.714419198e+01 -2.3987e+00 -3.1478e+00 -9.1472e-01 +6.9327e-01 +1.7394e+00 +3.1695e+00 +3.8680e+00 +1.0130e+00 +2.7023e+00 -2.2251e+00 -1.1005e-01 +2.8982e+00 +1.4526e+00 -3.3162e+00 -3.5630e+00 +9.1932e-02 +3.1281e+00 +2.5924e-02 -3.4460e+00 +2.4700e+00
59 +2.191005169e+01 +2.191005169e+01 -8.063994831e+01 -8.063994831e+01 +1.2663e+00 +1.1254e+00 -4.0752e+00 +1.3712e+00 -3.4522e-01 +1.8393e+00 +5.0748e+00 +1.5895e+00 +2.2211e+00 +6.0016e-01 -5.4661e-01 +2.6152e-01 -3.1786e-01 -2.5577e+00 -3.5770e+00 +1.0425e+00 -1.1792e+00 +9.3031e-01 -5.7441e-02 +2.5402e-01
68 +1.422253097e+01 +1.422253097e+01 -8.832746903e+01 -8.832746903e+01 +2.9243e+00 +1.4133e+00 -5.6313e-01 +2.1347e-02 -6.4614e-01 +1.9688e+00 +2.5433e+00 +2.1393e+00 +2.2205e+00 -1.2677e+00 +1.2214e+00 -5.3834e-01 +5.3840e-01 -1.4507e+00 -3.0157e+00 -1.8093e+00 -6.7525e-01 -6.7246e-01 -2.2827e+00 +1.0687e+00
170 +8.622729260e+00 +8.622729260e+00 -9.392727074e+01 -9.392727074e+01 +2.4745e-01 +6.0637e-01 -1.1956e+00 +3.5488e-01 -1.5458e+00 +9.8477e-01 +1.1507e+00 -2.5230e-01 -1.3226e-01 -2.0169e+00 -1.7897e+00 -9.0884e-01 -2.7251e-01 -9.0197e-01 -3.2821e+00 -3.8866e-01 +2.1969e+00 +1.3022e+00 -1.9672e+00 +3.3097e+00
962 +5.765514585e+00 +5.765514585e+00 -9.678448541e+01 -9.678448541e+01 +2.0114e+00 -3.9649e-01 -1.7796e+00 -1.2314e+00 -1.0883e+00 +1.5020e-01 -6.6210e-02 +1.2280e+00 +2.3439e-01 -1.2416e+00 -8.7701e-01 +1.7771e+00 -7.4376e-01 -7.1742e-01 -2.5680e-01 -1.8919e+00 +2.9780e-01 +2.0537e+00 -2.5769e+00 +1.0484e-01
10789 +3.675149642e+00 +3.675149642e+00 -9.887485036e+01 -9.887485036e+01 -4.2323e-01 -3.5117e-01 +2.7771e-01 -1.0407e+00 -1.2696e+00 +2.8873e-01 -1.1150e-02 -8.5219e-01 -2.0829e+00 -1.2311e+00 +1.2416e-01 +5.7425e-01 +6.2678e-01 -2.3456e-01 +4.9939e-02 -9.8654e-01 -1.3119e+00 -1.2322e+00 +3.1942e-02 +8.8506e-01
13836 +2.005226228e+00 +2.005226228e+00 -1.005447738e+02 -1.005447738e+02 -1.3180e+00 -4.2107e-01 +9.3634e-01 -1.1747e+00 -1.7362e+00 +4.4472e-01 -2.5436e-01 -2.9949e-01 -1.5996e+00 -1.1121e+00 +1.3499e-01 +5.8619e-01 +6.1421e-01 -2.7357e-01 +2.6526e-01 -1.1951e+00 -1.0758e+00 -8.9834e-01 +3.1123e-01 +8.6012e-01
18515 +1.467738051e+00 +1.467738051e+00 -1.010822619e+02 -1.010822619e+02 -1.3553e+00 -4.2942e-01 +9.5519e-01 -1.2397e+00 -1.7158e+00 +4.7408e-01 -2.1873e-01 -3.1060e-01 -1.6790e+00 -1.0932e+00 +9.2614e-02 +6.2139e-01 +6.2395e-01 -3.2277e-01 +1.3801e-01 -1.2194e+00 -1.1609e+00 -8.0464e-01 +3.5145e-01 +8.8354e-01
19255 +7.090552290e-01 +7.090552290e-01 -1.018409448e+02 -1.018409448e+02 -1.3547e+00 -4.1982e-01 +9.5659e-01 -1.2419e+00 -1.7216e+00 +4.7669e-01 -2.2447e-01 -3.0421e-01 -1.6810e+00 -1.0893e+00 +9.1659e-02 +6.1573e-01 +6.3230e-01 -3.2534e-01 +1.3947e-01 -1.2238e+00 -1.1596e+00 -8.0305e-01 +3.6046e-01 +8.8668e-01
19863 +6.045519015e-01 +6.045519015e-01 -1.019454481e+02 -1.019454481e+02 -1.3569e+00 -4.2072e-01 +9.5981e-01 -1.2472e+00 -1.7228e+00 +4.7165e-01 -2.2182e-01 -3.0286e-01 -1.6749e+00 -1.0871e+00 +9.4713e-02 +6.1310e-01 +6.3254e-01 -3.2760e-01 +1.4119e-01 -1.2257e+00 -1.1546e+00 -8.0571e-01 +3.6016e-01 +8.8757e-01
25513 +3.932718899e-01 +3.932718899e-01 -1.021567281e+02 -1.021567281e+02 -1.3430e+00 -4.1010e-01 +9.9016e-01 -1.2304e+00 -1.7350e+00 +4.8420e-01 -2.3929e-01 -3.0451e-01 -1.6856e+00 -1.0859e+00 +1.0284e-01 +6.0203e-01 +6.2455e-01 -3.3617e-01 +1.4038e-01 -1.2417e+00 -1.1699e+00 -8.1269e-01 +3.5670e-01 +9.1901e-01
192920 +2.203131543e-01 +2.203131543e-01 -1.023296868e+02 -1.023296868e+02 +3.6372e-01 +1.5199e-01 +1.0900e+00 +5.7428e-01 +1.5888e-01 +5.5195e-01 +1.5725e-01 +2.5168e-01 -4.4624e-02 +1.2418e-01 -1.9576e-01 +8.7550e-01 -5.4977e-01 +6.4557e-01 -3.5655e-01 -5.8019e-01 +4.0596e-01 -3.7457e-01 -2.0373e-01 +1.5253e+00
200690 +1.584264804e-01 +1.584264804e-01 -1.023915735e+02 -1.023915735e+02 +3.6885e-01 +1.5434e-01 +1.0900e+00 +5.7335e-01 +1.5739e-01 +5.4844e-01 +1.5350e-01 +2.4816e-01 -4.8064e-02 +1.1835e-01 -1.8968e-01 +8.8551e-01 -5.4312e-01 +6.5268e-01 -3.5813e-01 -5.7463e-01 +4.0941e-01 -3.8225e-01 -2.0416e-01 +1.5275e+00
572986 +9.631720714e-02 +9.631720714e-02 -1.024536828e+02 -1.024536828e+02 -3.8461e-01 -1.3990e-01 +3.2027e-01 +9.7289e-02 +6.0336e-01 +3.3069e-01 +8.8879e-03 +6.6324e-02 +5.6248e-02 +5.9418e-01 -5.6321e-02 -1.1636e-01 -3.2466e-01 +3.0493e-01 -2.6286e-01 -1.5509e-01 +2.9815e-01 +2.2153e-02 +1.7205e-01 +2.4571e-01
584469 +6.304429386e-02 +6.304429386e-02 -1.024869557e+02 -1.024869557e+02 -3.6881e-01 -1.3354e-01 +3.3729e-01 +1.2964e-01 +5.9065e-01 +3.6508e-01 +1.6123e-02 +5.9936e-02 +3.6894e-02 +6.0920e-01 -4.9299e-02 -8.9994e-02 -3.3830e-01 +2.9830e-01 -2.3885e-01 -1.7431e-01 +2.8555e-01 +1.8923e-05 +1.4671e-01 +2.7769e-01
